time_h,c31_uM,translation_flux_uM_h
0.0,0.0,2.2416983732203386
0.016666666666666666,0.037176527807547564,2.252135209386028
0.03333333333333333,0.07415967893668518,2.279137316767336
0.05,0.1111823321924792,2.317682090383196
0.06666666666666667,0.1484038559336472,2.364212334351765
0.08333333333333333,0.1859316244788846,2.4162078443223574
0.1,0.22383624501774568,2.4718823875469287
0.11666666666666667,0.2621623358486136,2.5299693600777244
0.13333333333333333,0.30093615749827446,2.5895701590407314
0.15,0.3401710174204758,2.6500469064117507
0.16666666666666666,0.3798710992189488,2.7109465425726755
0.18333333333333332,0.4200341770972987,2.7719471034200107
0.2,0.4606535410619593,2.832819691534019
0.21666666666666667,0.5017193633731046,2.8934015476427835
0.23333333333333334,0.5432196692175695,2.9535769754182977
0.25,0.585141026945278,3.013263822626378
0.26666666666666666,0.6274690394425713,3.072403895010187
0.2833333333333333,0.6701886944535852,3.1309561530266947
0.3,0.7132846147185531,3.188891879250353
0.31666666666666665,0.756741236892604,3.246191241456853
0.3333333333333333,0.8005429397708747,3.302840844475591
0.35,0.8446741363595803,3.358831983053653
0.36666666666666664,0.8891193401132286,3.414159391925636
0.38333333333333336,0.9338632126594658,3.468820348895158
0.4,0.9788905982151934,3.522814028793607
0.4166666666666667,1.0241865483968475,3.576141035950416
0.43333333333333335,1.0697363400631874,3.628803063892344
0.45,1.1155254880736045,3.680802645922581
0.4666666666666667,1.1615397543111148,3.732142970754572
0.48333333333333334,1.2077651539368552,3.782827744893933
0.5,1.254187959574097,3.832861088727424
0.5166666666666667,1.3007947039298309,3.882247456982945
0.5333333333333333,1.347572181216086,3.930991577045651
0.55,1.394507447645032,3.979098400311722
0.5666666666666667,1.4415878211967905,4.026573063201912
0.5833333333333334,1.4888008808066595,4.073420855422395
0.6,1.5361344650860764,4.119647193679797
0.6166666666666667,1.583576670661741,4.165257599589482
0.6333333333333333,1.631115850200453,4.210257680824649
0.65,1.6787406101705187,4.254653114838391
0.6666666666666666,1.726439808382499,4.298449634630241
0.6833333333333333,1.7742025513422697,4.341653016185297
0.7,1.8220181914443199,4.384269067291228
0.7166666666666667,1.8698763240285006,4.426303617509443
0.7333333333333333,1.9177667843194972,4.467762509128462
0.75,1.965679644265455,4.508651588963105
0.7666666666666667,2.0136052092918835,4.548976700874666
0.7833333333333333,2.061534014980265,4.588743678951133
0.8,2.109456823684798,4.627958341244074
0.8166666666666667,2.15736462109619,4.6666264840116005
0.8333333333333334,2.205248612762988,4.704753876396628
0.85,2.253100220572579,4.742346255548186
0.8666666666666667,2.300911079205612,4.779409322070053
0.8833333333333333,2.348673032566354,4.815948735798164
0.9,2.3963781301938503,4.851970111895367
0.9166666666666666,2.444018623660735,4.887479017196279
0.9333333333333333,2.4915869629630456,4.922480966796509
0.95,2.5390757929048933,4.956981420864595
0.9666666666666667,2.586477949481985,4.990985781645535
0.9833333333333333,2.633786456266763,5.024499390643402
1.0,2.680994520797955,5.057527525964451
1.0166666666666666,2.728095530977118,5.090075399801958
1.0333333333333334,2.7750830514741955,5.122148156049786
1.05,2.821950820144015,5.153750868030087
1.0666666666666667,2.868692744455359,5.184888536321547
1.0833333333333333,2.9153028979339872,5.215566086676647
1.1,2.9617755166208006,5.2457883680164255
1.1166666666666667,3.0081049955269794,5.275560150483156
1.1333333333333333,3.054285885125789,5.304886123561163
1.15,3.1003128879050528,5.333770894282339
1.1666666666666667,3.1461808549351784,5.362218985409535
1.1833333333333333,3.1918847823031116,5.390234833597664
1.2,3.237419807721612,5.417822787723701
1.2166666666666666,3.282781207016517,5.44498710714273
1.2333333333333334,3.3279643910253025,5.471731960076376
1.25,3.3729649018351253,5.49806142163634
1.2666666666666666,3.4177784096250576,5.523979472246733
1.2833333333333334,3.462400709408419,5.549489995982372
1.3,3.5068277175275844,5.574596778726805
1.3166666666666667,3.551055468309911,5.599303506291896
1.3333333333333333,3.5950801109012662,5.62361376268949
1.35,3.638897906008852,5.647531028300371
1.3666666666666667,3.682505222636546,5.671058677984415
1.3833333333333333,3.7258985346105002,5.694199978972364
1.4,3.769074417514703,5.716958088958058
1.4166666666666667,3.812029545473788,5.739336054040958
1.4333333333333333,3.8547606880114618,5.761336806646375
1.45,3.897264706587224,5.782963163138115
1.4666666666666666,3.9395385514942465,5.804217821579491
1.4833333333333334,3.981579258719183,5.825103359393351
1.5,4.023383946798945,5.845622230933059
1.5166666666666666,4.06494981352688,5.865776764835573
1.5333333333333334,4.106274132648607,5.88556916123449
1.55,4.147354250807951,5.905001489070031
1.5666666666666667,4.188187584416743,5.924075683236836
1.5833333333333333,4.228771616422427,5.942793541530914
1.6,4.269103892854343,5.961156721221215
1.6166666666666667,4.309182019801603,5.97916673590014
1.6333333333333333,4.349003660211325,5.996824952039218
1.65,4.388566530705241,6.014132585434827
1.6666666666666667,4.427868398011018,6.031090697047531
1.6833333333333333,4.466907075856532,6.04770018918836
1.7,4.505680421709797,6.063961801390407
1.7166666666666666,4.5441863335439265,6.079876106166917
1.7333333333333334,4.582422746165243,6.09544350399978
1.75,4.620387627949737,6.110664218652442
1.7666666666666666,4.658078977488597,6.125538292204648
1.7833333333333334,4.695494820231054,6.140065579922268
1.8,4.732633204699779,6.154245744260081
1.8166666666666667,4.7694921989751515,6.168078249018661
1.8333333333333333,4.806069887211179,6.181562353374413
1.85,4.842364366064493,6.19469710558553
1.8666666666666667,4.878373740786261,6.20748133587462
1.8833333333333333,4.914096121345555,6.219913649067636
1.9,4.949529618758261,6.231992417398487
1.9166666666666667,4.984672341229803,6.243715772766468
1.9333333333333333,5.019522390048569,6.255081598252109
1.95,5.054077855265798,6.266087518868617
1.9666666666666666,5.088336811747576,6.276730892840811
1.9833333333333334,5.12229731494607,6.287008802079462
2.0,5.155957396502918,6.2969180420307564
2.0166666666666666,5.189315059390523,6.30645511012555
2.033333333333333,5.222368273571513,6.315616195157579
2.05,5.255114971306044,6.324397165619761
2.066666666666667,5.287553042331739,6.332793557481546
2.0833333333333335,5.319680328377861,6.340800559952148
2.1,5.3514946182815,6.348413002495951
2.1166666666666667,5.38299364271732,6.355625340649301
2.1333333333333333,5.414175068819276,6.362431641329051
2.15,5.4450364939366045,6.36882556548889
2.1666666666666665,5.475575440045096,6.37480035231203
2.183333333333333,5.505789347760243,6.380348802136678
2.2,5.5356755702424865,6.385463258904516
2.216666666666667,5.56523136607311,6.390135589434372
2.2333333333333334,5.5944538927477545,6.394357164282966
2.25,5.623340199843934,6.398118837575844
2.2666666666666666,5.65188722203788,6.401410926305539
2.283333333333333,5.680091770923707,6.404223185984862
2.3,5.7079505274228275,6.406544787996646
2.316666666666667,5.7354600339316875,6.408364296200457
2.3333333333333335,5.76261668630013,6.409669643058441
2.35,5.789416724432329,6.410448101732257
2.3666666666666667,5.81585622340762,6.41068625991863
2.3833333333333333,5.841931084509343,6.410369993594763
2.4,5.86763702593139,6.409484440002335
2.4166666666666665,5.892969572096017,6.408013966887307
2.433333333333333,5.917924043318867,6.405942143239964
2.45,5.942495545594194,6.403251710743383
2.466666666666667,5.966678959970022,6.3999245544758585
2.4833333333333334,5.990468930405488,6.395941670012973
2.5,6.013859851934437,6.39128313220389
2.5166666666666666,6.036845859163358,6.385928065462144
2.533333333333333,6.059420814226716,6.37985461326833
2.55,6.08157829329107,6.373039904870366
2.566666666666667,6.1033115730768674,6.365460023225639
2.5833333333333335,6.124613618202708,6.357089975976741
2.6,6.145477067968021,6.347903665852018
2.6166666666666667,6.165894220880078,6.337873857285279
2.6333333333333333,6.185857020485015,6.326972147558847
2.65,6.205357041161304,6.315168939089914
2.6666666666666665,6.224385474564905,6.302433413930969
2.683333333333333,6.242933111516208,6.288733501300314
2.7,6.260990327952651,6.274035855140726
2.716666666666667,6.2785470701422454,6.258305831209228
2.7333333333333334,6.29559283875147,6.241507463803583
2.75,6.312116671068172,6.223603442528309
2.7666666666666666,6.32810712727196,6.204555097038195
2.783333333333333,6.343552272108666,6.184322377092272
2.8,6.35843966117095,6.162863841091145
2.816666666666667,6.372756323129382,6.1401366426935855
2.8333333333333335,6.3864887439863205,6.116096522724787
2.85,6.399622851239367,6.090697803037729
2.8666666666666667,6.4121439980273305,6.063893384079142
2.8833333333333333,6.424036947601831,6.035634746214806
2.9,6.4352858580415235,6.005871954665422
2.9166666666666665,6.445874266777818,5.974553668895917
2.933333333333333,6.4557850761856646,5.94162715688019
2.95,6.465000539530474,5.90703831429576
2.966666666666667,6.473502247243161,5.870731689236767
2.9833333333333334,6.481271114593268,5.832650511627835
3.0,6.488287368702775,5.792736731452477
3.0166666666666666,6.494530537145637,5.750931063735066
3.033333333333333,6.499979437935373,5.707173039269748
3.05,6.504612170147553,5.661401065077039
3.066666666666667,6.508406105808366,5.613552492758651
3.0833333333333335,6.5113378828980135,5.56356369804485
3.1,6.513383399919998,5.511370174714038
3.1166666666666667,6.514517812597687,5.4569066341183685
3.1333333333333333,6.514715532035761,5.400107119959419
3.15,6.513950224819043,5.340905134184486
3.1666666666666665,6.512194815517684,5.279233790256658
3.183333333333333,6.5094214919751705,5.215025974162726
3.2,6.50560171310971,5.148214524675008
3.216666666666667,6.500706219622977,5.078732434493789
3.2333333333333334,6.4947050479527935,5.006513074199749
3.25,6.487567549377661,4.931490460198109
3.2666666666666666,6.479262411976166,4.853599530680366
3.283333333333333,6.469757687483834,4.772776461938198
3.3,6.459020822393918,4.688959013708042
3.316666666666667,6.447018697026717,4.602086942475006
3.3333333333333335,6.43371767095373,4.512102459028383
3.35,6.419083633783361,4.418950725947285
3.3666666666666667,6.403082064741432,4.322580430719154
3.3833333333333333,6.385678100132021,4.222944425127844
3.4,6.366836618249145,4.120000522061483
3.4166666666666665,6.346522330004394,4.01371234388771
3.433333333333333,6.324699884695266,3.904050318551546
3.45,6.301333990348912,3.790992823023785
3.466666666666667,6.276389557179015,3.674527563634407
3.4833333333333334,6.249831868875916,3.5546532588765545
3.5,6.2216267701781796,3.4313815317721588
3.5166666666666666,6.191740890676348,3.304739226199482
3.533333333333333,6.160141899787112,3.1747711207999445
3.55,6.126798824125045,3.041543449743032
3.566666666666667,6.09168243289959,2.9051485058872712
3.5833333333333335,6.054765678742809,2.765709209450248
3.6,6.01602421915889,2.6233859547619147
3.6166666666666667,5.97543705817123,2.478385002250266
3.6333333333333333,5.932987353651568,2.3309689885700813
3.65,5.888663419552463,2.181469701439199
3.6666666666666665,5.842459902219098,2.0303049249014804
3.683333333333333,5.794379279152022,1.877999252807814
3.7,5.744433758402774,1.7252093763966927
3.716666666666667,5.692647551101139,1.57275384751398
3.7333333333333334,5.639059626964255,1.4216451284335228
3.75,5.583727019468307,1.2731196048618736
3.7666666666666666,5.526728458729526,1.1286526077375043
3.783333333333333,5.468167870670761,0.9899400163069106
3.8,5.408177200556904,0.8588224401354118
3.816666666666667,5.346917235945452,0.7371304181382914
3.8333333333333335,5.284575271426666,0.6264605412047934
3.85,5.221358811255452,0.5279368168442466
3.8666666666666667,5.15748597968234,0.4420448609523295
3.8833333333333333,5.093174311806087,0.3685996904864829
3.9,5.028630366266227,0.3068495491670951
3.9166666666666665,4.964041940837284,0.2556572616758025
3.933333333333333,4.899573565910819,0.2136923061980795
3.95,4.835364993231731,0.1795880784949401
3.966666666666667,4.771531898516247,0.1520487547983655
3.9833333333333334,4.708167941456372,0.1299094442909174
4.0,4.645347480528532,0.1121613016162258
4.016666666666667,4.58312846809108,0.097953610343136
4.033333333333333,4.521555215462788,0.0865828669481716
4.05,4.460660880378166,0.0774756246339268
4.066666666666666,4.400469616314426,0.0701693840331217
4.083333333333333,4.340998377601869,0.0642940356872385
4.1,4.282258405945723,0.0595550658133943
4.116666666666666,4.224256437160917,0.0557190324615852
4.133333333333334,4.166995669784015,0.0526013716222436
4.15,4.110476537323635,0.0500563656089819
4.166666666666667,4.054697319462229,0.047969019323573
4.183333333333334,3.9996546244675697,0.046248548503442
4.2,3.945343768435357,0.0448232061715118
4.216666666666667,3.8917590730073135,0.0436361955503231
4.233333333333333,3.838894098906533,0.0426424547210998
4.25,3.786741828903043,0.0418061366158482
4.266666666666667,3.7352948113286177,0.0410986362569818
4.283333333333333,3.684545272658671,0.0404970488322246
4.3,3.634485205897919,0.0399829652649931
4.316666666666666,3.5851064401193815,0.0395415302824
4.333333333333333,3.5364006951916913,0.0391607060172934
4.35,3.4883596249520186,0.0388306950039996
4.366666666666666,3.440974851308753,0.038543487344691
4.383333333333334,3.3942379911998883,0.038292504780567
4.4,3.3481406779501497,0.0380723199025444
