time_min,time_generations,TetR_mRNA,TetR_total,CI_mRNA,CI,LacI_mRNA,LacI,C31_mRNA,C31_protein,TetR_free,PLtetO1_activity,resource_availability,unthrottled_C31_demand_molecules_min,actual_C31_translation_flux_uM_h
0.0,0.0,0.0022558821501675584,100.0,8.552172382300807,20.0,5.973695619065214,300.0,44.99941048331964,0.0,17.01453005431879,0.31191214503372655,1.0,22.49970524165982,2.2416983732203386
1.0,0.02,0.0022601048491636706,98.62439132069761,8.592638016048658,23.978152323082433,5.610216517529104,298.7710806966518,45.20891747158244,22.380269740143635,16.768180920942807,0.32127558876869977,1.0,22.60445873579122,2.2521352093860276
2.0,0.04,0.002272234898570174,97.26772513015213,8.697330412323337,27.93856310059535,4.870337147515353,297.26693798718264,45.75095244313868,44.644126719884476,16.531181496263283,0.33055949236900495,1.0,22.87547622156934,2.279137316767336
3.0,0.06,0.002292477834361628,95.92974458357881,8.846775959543956,31.908244888036457,4.057259463291015,295.3898759195017,46.5246926173955,66.93176397987247,16.302923670787106,0.33976094326476874,1.0,23.26234630869775,2.317682090383196
4.0,0.08,0.002321400763848556,94.61019660022933,9.027182720820926,35.90566375261616,3.3007170858051333,293.145808622424,47.45873154664837,89.3391212720556,16.082851273512794,0.34887742833264207,1.0,23.729365773324187,2.364212334351765
5.0,0.1,0.0023594122404584526,93.30883183588118,9.22877937612915,39.94324106936577,2.647303146750739,290.5817328997455,48.502479146418004,111.93083793628851,15.870454816215672,0.357906790545288,1.0,24.251239573209002,2.4162078443223574
6.0,0.12,0.0024066530631148774,92.02540451558397,9.444640355398988,44.02912400974115,2.105211603819353,287.75632111198877,49.62007893324158,134.7494195006829,15.66526680848173,0.3668471915118573,1.0,24.81003946662079,2.4718823875469287
7.0,0.14,0.0024630342781369087,90.7596722579463,9.669854789987903,48.168438763362644,1.6661122629411342,284.72678227546504,50.78610534958394,157.82172618086537,15.466857596573538,0.3756970784327683,1.0,25.39305267479197,2.5299693600777244
8.0,0.16,0.002528312911247585,89.51139593279096,9.900938622638755,52.3641778304349,1.315723363327476,281.54362816112365,51.98252001879624,181.16356681396118,15.274831669965405,0.38445515465406893,1.0,25.99126000939812,2.5895701590407314
9.0,0.18,0.002602164131402974,88.28033955840704,10.135418676797538,56.61782843843312,1.0387723026867457,278.24920399981687,53.19651830338036,204.78295248712638,15.08882438046249,0.3931203533162095,1.0,26.59825915169018,2.6500469064117507
10.0,0.2,0.002684237358242874,87.06627023225937,10.371538352640204,60.92981777138647,0.8211620208996392,274.8779272907115,54.41900557402661,228.68240172980714,14.908499023835253,0.40169181373014995,1.0,27.209502787013307,2.7109465425726755
11.0,0.22,0.0027741952112077498,85.86895808616764,10.608049333024933,65.29982857967873,0.6507605824512207,271.4572154754163,55.6435187868986,252.8605746125738,14.733544239626982,0.41016886018910037,1.0,27.8217593934493,2.7719471034200107
12.0,0.24,0.002871738067637137,84.68817625771838,10.844064138354854,69.72702302074589,0.5175324679243756,268.00860863879205,56.86546310039214,277.3134317192995,14.563671690455209,0.41855098296310944,1.0,28.43273155019607,2.832819691534019
13.0,0.26,0.0029766178109099537,83.52370087142955,11.078951719432501,74.21020153133763,0.41337800628863364,264.54885873150783,58.081571317022295,302.035056750609,14.398613987180624,0.4268378212515812,1.0,29.040785658511147,2.8934015476427835
14.0,0.28,0.003088644024112002,82.37531102499895,11.312263499202455,78.74791568105965,0.33186462597489996,261.0908919906879,59.28952097154683,327.01824086897676,14.238122830762377,0.4350291478894552,1.0,29.644760485773414,2.9535769754182977
15.0,0.3,0.003207685213431394,81.2427887774875,11.54368095755314,83.33854841846562,0.2679391910709529,257.64461750731533,60.48766295623907,352.2548982210574,14.081967345368414,0.4431248556253459,1.0,30.243831478119535,3.013263822626378
16.0,0.32,0.0033336669772193175,80.12591913744684,11.772978464087942,87.98037119459762,0.21766161782040835,254.21758612999577,61.674829091078685,377.7363617444279,13.929932580731085,0.45112494480043414,1.0,30.837414545539342,3.072403895010187
17.0,0.34,0.003466568471319432,79.02449004983127,11.999996900555786,92.67158468593466,0.17797506760412415,250.81551677922099,62.85019555638284,403.4535940610583,13.781818164367001,0.45902951228300115,1.0,31.42509777819142,3.1309561530266947
18.0,0.36,0.003606418087019743,77.9382923811081,12.224624923939887,97.41034786875196,0.14651556430112353,247.4427112688752,64.01318588422183,429.3973380605689,13.637437086899483,0.46683874151884974,1.0,32.00659294211091,3.188891879250353
19.0,0.38,0.0037532889321280904,76.86711990235848,12.446785640868299,102.19479881261367,0.121458295960663,244.1023781899799,65.16340196644106,455.5582246093476,13.496614605633846,0.4745528935813242,1.0,32.58170098322053,3.2461912414568532
20.0,0.4,0.003907294477728819,75.81076927039771,12.666427115672095,107.02306957962506,0.10139567300850051,240.79688413357087,66.30057491103092,481.92684974206657,13.359187253491111,0.48217229910981596,1.0,33.15028745551546,3.302840844475591
21.0,0.42,0.004068584578134706,74.76904000708028,12.883515596400926,111.89329692003116,0.08524173601916595,237.52794768547253,67.42452997046345,508.49383008846735,13.22500194187235,0.48969735104265083,1.0,33.71226498523173,3.3588319830536535
22.0,0.44,0.0042373419646941106,73.74173447702857,13.09803066860178,116.80362996413479,0.07215786037461712,234.29678878129928,68.53516145084062,535.2498427481636,13.093915147426465,0.4971284980587158,1.0,34.26758072542031,3.4141593919256357
23.0,0.46,0.0044137792468273455,72.72865786405373,13.309961777792457,121.75223576183308,0.06149536629470849,231.10424348518154,69.63241470732984,562.1856540209984,12.96579217386785,0.5044662386522087,1.0,34.81620735366492,3.468820348895158
