scenario,sponge_plasmid_copies,oscillator_mrna_total_half_life_min,oscillator_mrna_intrinsic_loss_per_min,oscillator_tx_per_plasmid_per_min_QSS_mapped,oscillator_translation_per_mrna_per_min,status,period_min,period_generations,deterministic_period_cv,period_error_vs_reduced_percent,TetR_cycle_correlation_vs_reduced,CI_cycle_correlation_vs_reduced,LacI_cycle_correlation_vs_reduced,fast_QSS_acceptance_pass,TetR_free_peak,TetR_free_trough,C31_peak,C31_trough,C31_dose_copies_min_per_cycle,PLtetO1_duty_activity_gt_0p5,effective_functional_sites,effective_sponge_sites,QSS_mapping_lhs,QSS_mapping_rhs
full__fast_mRNA_0p2min__Nt_0,0.0,0.2,3.451872959188527,9.609060278364028,0.5,resolved_oscillation,662.5,13.25,0.0008267510301964771,0.37878787878788955,0.9999812705378853,0.9999883256111308,0.9999669368018851,True,813.206064388991,5.333300048207634,4188.784654797202,53.878312643660514,926613.4549065207,0.26749611197511663,40.0,0.0,13.862943611198908,13.862943611198906
full__mRNA_2min__Nt_0,0.0,2.0,0.33271064666877376,0.9609060278364028,0.5,resolved_oscillation,683.8333333333334,13.676666666666668,0.0005969996935859561,3.6111111111111205,0.9995214742870937,0.99963309403571,0.9994426640469919,True,829.4936754088586,4.970224821722237,4301.158845576312,51.20106475546555,984376.3882076399,0.28371473005998665,40.0,0.0,13.862943611198906,13.862943611198906
full__fast_mRNA_0p2min__Nt_40,40.0,0.2,3.451872959188527,9.609060278364028,0.5,resolved_oscillation,611.1428571428571,12.222857142857142,0.0006184551919272067,0.49330514446792595,0.9999713881088386,0.9999769982804764,0.9999545271527197,True,768.0334141017353,6.059617968795342,4082.122010046175,66.39896794609021,920080.8789118096,0.3048211508553655,40.0,80.0,13.862943611198908,13.862943611198906
full__mRNA_2min__Nt_40,40.0,2.0,0.33271064666877376,0.9609060278364028,0.5,resolved_oscillation,635.3333333333334,12.706666666666667,0.000812798183884033,4.471067261764938,0.9997703890484431,0.9997950438502339,0.9996437846664308,True,780.7742880848408,5.6632292411044,4219.337827307895,62.359113907526336,992269.6636319322,0.327482781604088,40.0,80.0,13.862943611198906,13.862943611198906
