scenario,peak_load_fraction,burden_ratio_L_over_1_minus_L,status,period_min,period_generations,deterministic_period_cv,resource_min,resource_mean,unthrottled_C31_demand_peak_molecules_min,actual_C31_flux_peak_uM_h,actual_C31_flux_FWHM_h,actual_C31_flux_dose_uM_cycle,TetR_free_peak,TetR_free_trough,TetR_total_peak,CI_peak,LacI_peak,C31_peak_copies,C31_trough_copies,PLtetO1_duty_gt_0p5,period_change_percent,TetR_peak_change_percent,C31_dose_change_percent,timebase_stable,amplitude_stable,engineering_pass
peak_resource_load_0percent,0.0,0.0,resolved_oscillation,635.3333333333334,12.706666666666667,0.000812798183884033,1.0,1.0,66.63770390369238,6.639270640730661,3.6333333333333333,22.844401837575408,780.7742880882578,5.663229241202495,900.7737341864415,809.9270645651444,543.5565884284362,4219.3378215562925,62.35911391502764,0.327482781604088,0.0,0.0,0.0,True,True,True
peak_resource_load_5percent,0.05,0.052631578947368425,resolved_oscillation,633.1666666666666,12.663333333333332,0.0006447722407957827,0.9499457929966678,0.9837156337247989,66.71375519554898,6.314145113043291,3.683333333333333,22.006407666193315,777.8034383882066,5.634837213072571,897.8028781151999,773.6541874701985,541.941471847908,4030.390312006122,62.42786129154746,0.32881581870695403,-0.34102833158448087,-0.3805004526116429,-3.6682692650053306,True,True,True
peak_resource_load_10percent,0.1,0.11111111111111112,resolved_oscillation,630.8333333333334,12.616666666666667,0.0006471571315147101,0.8997908778983331,0.9669577975341447,66.79257785310539,5.9878393407269135,3.7333333333333334,21.15072353877981,774.5550685018777,5.605175098816107,894.5545011501928,736.9672793169291,540.1698908534427,3839.286553516355,62.50305492141783,0.3303710286602977,-0.7082896117523552,-0.7965451323465045,-7.413975252395377,True,True,True
peak_resource_load_20percent,0.2,0.25,resolved_oscillation,625.5,12.51,0.0008756555675542223,0.7992285272802131,0.9318605240048002,66.95932136926186,5.331904577298952,3.85,19.381702010504153,767.0380754771905,5.541622833930947,887.0374912814037,662.3357392087651,536.0268353595261,3450.5287451767713,62.67764408406929,0.3337036214174628,-1.5477439664218329,-1.7593064757166377,-15.157760976589307,True,True,True
peak_resource_load_30percent,0.3,0.4285714285714286,resolved_oscillation,619.5,12.39,0.0008841364931479679,0.6984214278821128,0.8943173189704138,67.13975236699802,4.671944106050111,3.9833333333333334,17.531451582462847,757.7392042257553,5.471509377476358,877.7385982575506,585.995663694853,530.8459668382113,3052.8726717679347,62.893476303724185,0.33792490557653854,-2.492130115424973,-2.9502871974568134,-23.257121341534116,True,True,True
peak_resource_load_40percent,0.4,0.6666666666666667,resolved_oscillation,612.2857142857143,12.245714285714287,0.0007969319307792501,0.5974949846084203,0.85376954621883,67.33615526411542,4.008509597154236,4.116666666666666,15.588048474586712,745.8589620916028,5.3935541047501845,865.8583267038113,507.9105746592651,524.1439393867483,2646.127996465323,63.170878674545015,0.3428127082870473,-3.627642032678746,-4.471884708466234,-31.76425197990148,True,True,True
peak_resource_load_50percent,0.5,1.0,resolved_oscillation,603.8571428571429,12.077142857142858,0.0006259170359745895,0.4965962032111513,0.808972710087232,67.55120747499214,3.342234048452548,4.283333333333333,13.541113843868837,730.0217961743523,5.306070835298409,850.0211185307078,428.0428005629672,515.0780853689213,2230.097883072979,63.54311046871052,0.3492557209508998,-4.954279718183175,-6.500277056788595,-40.72458565495963,True,True,True
